  8481880  72714621 426153544 total
   306713   2625667  15140710 base_dades/etext03/gn06v10.txt
   162309   1613414   9873495 base_dades/etext04/suall10.txt
   158266   1613272   9840067 base_dades/etext04/jm00v10.txt
   146801   1347452   8441343 base_dades/etext95/pge0112.txt
   113299   1301379   6924973 base_dades/etext03/sp85g10.txt
   126570    926517   5705028 base_dades/etext04/fs40w10.txt
    88220    835447   4930901 base_dades/etext03/cwgen11.txt
   135281    817811   4651867 base_dades/etext00/00ws110.txt
   100117    823156   4445260 base_dades/etext90/kjv10.txt
    69842    742247   4315118 base_dades/etext96/plivs10.txt
    58085    672649   3623007 base_dades/etext05/lcjnl10.txt
    70761    567643   3334517 base_dades/etext94/lesms10.txt
    67337    566237   3282452 base_dades/etext01/wrnpc10.txt
    48340    493592   2975094 base_dades/etext02/nb17v11.txt
    60697    494837   2814559 base_dades/etext02/gm00v11.txt
    62037    466288   2689714 base_dades/etext98/crsto12.txt
    45042    453418   2633515 base_dades/etext02/mn20v11.txt
    59173    437227   2401914 base_dades/etext99/1drvb10.txt
    59588    371199   2375902 base_dades/etext03/shlyc10.txt
    37825    412426   2326437 base_dades/etext03/bough11.txt
    41158    425466   2325117 base_dades/etext97/1donq10.txt
    57149    418232   2309992 base_dades/etext99/2drvb10.txt
    36659    384166   2274821 base_dades/etext02/wltnt10.txt
    37145    383184   2143292 base_dades/etext99/2donq10.txt
    43490    351603   2031585 base_dades/etext98/nkrnn11.txt
    40917    355276   2028716 base_dades/etext97/blkhs10.txt
    35641    352957   2011425 base_dades/etext04/8tomj10.txt
    40831    361106   1998495 base_dades/etext96/cprfd10.txt
    37202    332106   1909403 base_dades/etext04/bllfn10.txt
    39099    324316   1902955 base_dades/etext97/ncklb10.txt
    33436    309832   1899162 base_dades/etext00/dscmn10.txt
    35720    343486   1881333 base_dades/etext02/lacob11.txt
    30910    321519   1875745 base_dades/etext98/ggpnt10.txt
    35603    303058   1857877 base_dades/etext04/phrlc10.txt
    31629    293939   1848837 base_dades/etext04/hmjnc10.txt
    34324    318631   1843562 base_dades/etext94/mdmar10.txt
    31747    288746   1842626 base_dades/etext04/hmjnc11.txt
    31831    296008   1833945 base_dades/etext96/2dfre11.txt
    28701    301372   1767795 base_dades/etext02/nc13v11.txt
    30459    296382   1766773 base_dades/etext00/1cahe10.txt
    30639    297989   1765018 base_dades/etext00/2cahe10.txt
    49185    307268   1764308 base_dades/etext96/orfur10.txt
    31554    304971   1762522 base_dades/etext96/vfair12.txt
    35086    306296   1731944 base_dades/etext00/1vkip11.txt
    36790    281743   1702164 base_dades/etext00/cbtls12.txt
    28829    277920   1687011 base_dades/etext96/4dfre10.txt
    29377    268791   1656383 base_dades/etext96/1dfre10.txt
    24905    279294   1598341 base_dades/etext03/jj13b10.txt
    28028    264295   1596291 base_dades/etext96/5dfre11.txt
    40115    293159   1588927 base_dades/etext91/mormon13.txt
    27158    253479   1570266 base_dades/etext96/3dfre10.txt
    40740    269258   1566903 base_dades/etext98/2musk10.txt
    32757    267232   1561648 base_dades/etext03/ulyss12.txt
    28488    203373   1551040 base_dades/etext91/roget15a.txt
    23938    242612   1512859 base_dades/etext05/8unlt10.txt
    27091    244615   1488417 base_dades/etext02/irish10.txt
    28958    261132   1450272 base_dades/etext95/humbn10.txt
    24910    240061   1446624 base_dades/etext96/6dfre10.txt
    32118    251352   1427642 base_dades/etext04/8ldvc10.txt
    29428    229909   1426440 base_dades/etext05/8euhs10.txt
    29130    127240   1424515 base_dades/etext93/pimil10.txt
    38892    245207   1416651 base_dades/etext98/3musk11.txt
    23350    234927   1402745 base_dades/etext04/st15w10.txt
    29236    243992   1391054 base_dades/etext01/idiot10.txt
    24154    226251   1377479 base_dades/etext05/8romn10.txt
    21520    229007   1362260 base_dades/etext03/trthn10.txt
    33249    231576   1349189 base_dades/etext98/1musk12.txt
